article_last_modified_date,article_media_image_src,article_media_name,article_media_url,article_reporter,article_title,article_url,keyword_1,keyword_2,keyword_3
2022.10.10. 9:17,https://mimgnews.pstatic.net/image/upload/office_logo/009/2018/10/05/logo_009_6_20181005175405.png,매일경제,http://www.mk.co.kr/,전종헌 기자,"""나 신용점수 1000점인데""…은행 마통 금리에 직장인들 '비명'",https://n.news.naver.com/article/009/0005027998?ntype=RANKING,금리,기준,인상
2022.10.10. 14:51,https://mimgnews.pstatic.net/image/upload/office_logo/009/2018/10/05/logo_009_6_20181005175405.png,매일경제,http://www.mk.co.kr/,이다겸 기자,"“따가운 시선에 상처”...혜민스님, ‘풀소유 논란’ 2년만 근황",https://n.news.naver.com/article/009/0005028051?ntype=RANKING,혜민,스님,활동
2022.10.10. 12:55,https://mimgnews.pstatic.net/image/upload/office_logo/009/2018/10/05/logo_009_6_20181005175405.png,매일경제,http://www.mk.co.kr/,류영상 기자,"연 소득 1억 직장人, 퇴근하면 '부캐'로 돈 이렇게 벌었다",https://n.news.naver.com/article/009/0005028027?ntype=RANKING,가구,비중,소득
2022.10.10. 15:25,https://mimgnews.pstatic.net/image/upload/office_logo/009/2018/10/05/logo_009_6_20181005175405.png,매일경제,http://www.mk.co.kr/,이하린 기자,"""삼성전자 합격했는데, 애사심도 없냐""…당근마켓에 '입사선물' 올린 신입사원",https://n.news.naver.com/article/009/0005028028?ntype=RANKING,필요,입사,삼성전자
2022.10.10. 16:13,https://mimgnews.pstatic.net/image/upload/office_logo/009/2018/10/05/logo_009_6_20181005175405.png,매일경제,http://www.mk.co.kr/,최기성 기자,"""한번 타보면 또다시 사는 수입차""…계약 즉시 출고, '슈퍼맨 아빠車' 지프 [카슐랭]",https://n.news.naver.com/article/009/0005028036?ntype=RANKING,지프,수입,판매
2022.10.10. 12:53,https://mimgnews.pstatic.net/image/upload/office_logo/277/2020/09/15/logo_277_6_20200915184035.png,아시아경제,https://www.asiae.co.kr/ ,권현지 기자,나경원 “국민의힘 지지층 7주 연속 1등은 나”…유승민 견제,https://n.news.naver.com/article/277/0005159405?ntype=RANKING,정권,국민,자신
2022.10.10. 11:44,https://mimgnews.pstatic.net/image/upload/office_logo/277/2020/09/15/logo_277_6_20200915184035.png,아시아경제,https://www.asiae.co.kr/ ,황수미 기자,"오징어부터 꽃게까지 '싹쓸이'…도주하던 中 어선들, 해경에 나포",https://n.news.naver.com/article/277/0005159382?ntype=RANKING,어선,중국,불법
2022.10.10. 14:31,https://mimgnews.pstatic.net/image/upload/office_logo/016/2019/01/22/logo_016_6_20190122142922.png,헤럴드경제,http://www.heraldbiz.com/,신대원 기자,北 급기야 ‘전술핵 훈련’까지…짙어진 ‘한반도 핵전쟁’ 공포,https://n.news.naver.com/article/016/0002050738?ntype=RANKING,북한,발사,미사일
2022.10.10. 9:21,https://mimgnews.pstatic.net/image/upload/office_logo/277/2020/09/15/logo_277_6_20200915184035.png,아시아경제,https://www.asiae.co.kr/ ,황수미 기자,"푸틴 자존심도 '박살'났다…""우크라 반격 70%, 이것 덕분""",https://n.news.naver.com/article/277/0005159321?ntype=RANKING,하이,마스,우크라이나
2022.10.09. 18:55,https://mimgnews.pstatic.net/image/upload/office_logo/016/2019/01/22/logo_016_6_20190122142922.png,헤럴드경제,http://www.heraldbiz.com/,박지영 기자,“31살에 코인으로 돈방석” 올인 한 ‘이 남자’ 경악할 근황?,https://n.news.naver.com/article/016/0002050633?ntype=RANKING,암호화폐,거래소,오비
2022.10.09. 19:58,https://mimgnews.pstatic.net/image/upload/office_logo/016/2019/01/22/logo_016_6_20190122142922.png,헤럴드경제,http://www.heraldbiz.com/,박혜림 기자,"“1억 넣고 크게 후회했는데, 2억이 됐어요” 망한줄 알았던 ‘이것’ 이런 일이",https://n.news.naver.com/article/016/0002050622?ntype=RANKING,쿠팡,투자자,주가
2022.10.10. 9:24,https://mimgnews.pstatic.net/image/upload/office_logo/277/2020/09/15/logo_277_6_20200915184035.png,아시아경제,https://www.asiae.co.kr/ ,이관주 기자,내일부터 무비자 日 관광 허용…백신 3회 접종 증명서나 음성 확인서 필요,https://n.news.naver.com/article/277/0005159323?ntype=RANKING,일본,비자,증명서
2022.10.10. 10:56,https://mimgnews.pstatic.net/image/upload/office_logo/016/2019/01/22/logo_016_6_20190122142922.png,헤럴드경제,http://www.heraldbiz.com/,박혜림 기자,“왜 한국처럼 못 만드나?” 깔보던 일본 ‘한국 것’ 못 봐서 난리,https://n.news.naver.com/article/016/0002050636?ntype=RANKING,한국,콘텐츠,일본
article_last_modified_date,article_media_image_src,article_media_name,article_media_url,article_reporter,article_title,article_url,keyword_1,keyword_2,keyword_3
2022.10.10. 11:01,https://mimgnews.pstatic.net/image/upload/office_logo/052/2020/11/17/logo_052_6_20201117112951.png,YTN,http://www.ytn.co.kr/,이승윤 기자,"38만 가구, 집 팔아도 빚 못 갚는다...69조 '시한폭탄'",https://n.news.naver.com/article/052/0001799073?ntype=RANKING,가구,부채,금융
2022.10.10. 11:51,https://mimgnews.pstatic.net/image/upload/office_logo/047/2020/09/15/logo_047_6_20200915184324.png,오마이뉴스,http://www.ohmynews.com/,,'쾅' 바다로 돌진한 자동차... 겨울바다 뛰어들어 4명 목숨 살렸다  [시민영웅의 정체],https://n.news.naver.com/article/047/0002368723?ntype=RANKING,바다,사람,아들
2022.10.10. 8:39,https://mimgnews.pstatic.net/image/upload/office_logo/008/2020/09/24/logo_008_6_20200924115228.png,머니투데이,http://www.mt.co.kr/,이영민 기자,"""9억 아파트·11억 주택 있다"" 대리기사 말에 격분해 폭행한 60대",https://n.news.naver.com/article/008/0004803752?ntype=RANKING,폭행,운전,혐의
2022.10.10. 11:52,https://mimgnews.pstatic.net/image/upload/office_logo/047/2020/09/15/logo_047_6_20200915184324.png,오마이뉴스,http://www.ohmynews.com/,,"모닝 막걸리에, 해장 아이스커피까지... 해방이로구나",https://n.news.naver.com/article/047/0002368725?ntype=RANKING,여행,혼자,사람
2022.10.10. 11:52,https://mimgnews.pstatic.net/image/upload/office_logo/047/2020/09/15/logo_047_6_20200915184324.png,오마이뉴스,http://www.ohmynews.com/,,"미국엔 그녀가 있는데, 한국엔? 위기의 사장님들 [넥스트브릿지]",https://n.news.naver.com/article/047/0002368726?ntype=RANKING,공인,소상,디지털
2022.10.10. 11:53,https://mimgnews.pstatic.net/image/upload/office_logo/047/2020/09/15/logo_047_6_20200915184324.png,오마이뉴스,http://www.ohmynews.com/,,"학교도서관의 '유령', 상치교사를 아십니까",https://n.news.naver.com/article/047/0002368727?ntype=RANKING,교사,사서,사서교사
2022.10.10. 11:31,https://mimgnews.pstatic.net/image/upload/office_logo/008/2020/09/24/logo_008_6_20200924115228.png,머니투데이,http://www.mt.co.kr/,김희정 기자,"'시급 4187원', 요금 올려도 택시운전 안 합니다",https://n.news.naver.com/article/008/0004803808?ntype=RANKING,택시,기사,전액
2022.10.10. 13:36,https://mimgnews.pstatic.net/image/upload/office_logo/008/2020/09/24/logo_008_6_20200924115228.png,머니투데이,http://www.mt.co.kr/,이영민 기자,"""돈 많으면 때려"" 말에 35차례 종업원 폭행 사망…업주 '징역 7년'",https://n.news.naver.com/article/008/0004803830?ntype=RANKING,차례,화가,양형
